,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,generalisd,legend,Shape_Length,Shape_Area,MAT_nichefrac_2021,MTWM_nichefrac_2021,MTCM_nichefrac_2021,AP_nichefrac_2021,PDQ_nichefrac_2021
0,Agalychnis medinae,4,1,1,Grisel Velasquez,2020,IUCN (International Union for Conservation of Nature).,0,Possibly Extinct,0.3705999504687024,0.0026276571338072563,1.0,1.0,1.0,1.0,1.0
1,Agalychnis medinae,1,1,1,Grisel Velasquez,2020,IUCN (International Union for Conservation of Nature).,0,Extant (resident),12.037777860003189,0.052402700644943116,1.0,1.0,1.0,1.0,0.7499500813059072
2,Telmatobius mendelsoni,4,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Possibly Extinct,0.49778438615732135,0.01047791052017623,1.0,1.0,1.0,1.0,1.0
3,Thorius omiltemi,1,1,1,Lauren Warr,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.8425792404085658,0.010135338094544921,1.0,1.0,1.0,1.0,1.0
4,Ptychadena perplicata,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),35.86474781150094,55.70823737902021,1.0,0.9979433173153424,1.0,0.9979460378290737,1.0
5,Telmatobius hauthali,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.3923971564474438,0.009083071169183728,1.0,1.0,1.0,1.0,1.0
6,Plectrohyla pycnochila,4,1,1,IUCN & Paulina Arias Caballero-CONABIO,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe, CONABIO (Comisión Nacional para el Conocimiento y Uso de la Biodiversidad)",0,Possibly Extinct,0.1772934230838644,0.002501291813717827,1.0,1.0,1.0,1.0,1.0
7,Cardioglossa nigromaculata,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),9.694854185174158,3.2299451992632986,1.0,1.0,1.0,0.914339121603983,1.0
8,Andinobates bombetes,1,1,1,IUCN,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),2.014825714972617,0.04302836060739629,1.0,1.0,1.0,1.0,1.0
9,Andinobates bombetes,1,1,1,Louise Hobin,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.4061669963173752,0.003404311642285243,1.0,1.0,1.0,1.0,1.0
10,Kassina cassinoides,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),66.30043032930561,131.89128981108897,1.0,1.0,1.0,1.0,1.0
11,Oreophryne sibilans,1,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.05250669393835622,0.00021930400000035597,1.0,1.0,1.0,1.0,1.0
12,Niceforonia fallaciosa,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.5305860451493744,0.012294343150221383,1.0,1.0,1.0,1.0,1.0
13,Niceforonia fallaciosa,1,1,1,Steve Best,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.2646021037282616,0.005571417407592854,1.0,1.0,1.0,1.0,1.0
14,Craugastor xucanebi,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),7.145242874634042,0.8142920378816364,1.0,1.0,1.0,1.0,1.0
15,Sclerophrys regularis,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),282.3394545423843,616.479039806591,0.9996127376418534,0.9864899855924459,0.9998062020117536,0.9700154306542581,0.9672939671615499
16,Sclerophrys regularis,1,3,1,IUCN,2014,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant & Introduced (resident),8.424014692032248,0.3380068095595775,1.0,1.0,0.967911198490768,1.0,1.0
17,Afrixalus weidholzi,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),117.45396478267742,177.49471070643324,0.9996761583332706,1.0,1.0,0.9990211661787054,1.0
18,Hyperolius argus,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),108.53535496391588,60.53439237618536,1.0,1.0,1.0,1.0,1.0
19,Pristimantis culatensis,1,1,1,Kelsey Neam,2020,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.7450552087921767,0.026867065070527038,1.0,1.0,1.0,1.0,1.0
20,Scolecomorphus uluguruensis,1,1,1,Jennifer Luedtke,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),1.6040997171369826,0.020023045956461236,1.0,1.0,1.0,1.0,1.0
21,Choerophryne proboscidea,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),21.055969510784312,2.715377219782719,1.0,1.0,1.0,1.0,1.0
