,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,generalisd,legend,Shape_Length,Shape_Area,MAT_nichefrac_1980,MAT_change_1980,MTWM_nichefrac_1980,MTWM_change_1980,MTCM_nichefrac_1980,MTCM_change_1980,AP_nichefrac_1980,AP_change_1980,PDQ_nichefrac_1980,PDQ_change_1980
0,Agalychnis medinae,4,1,1,Grisel Velasquez,2020,IUCN (International Union for Conservation of Nature).,0,Possibly Extinct,0.3705999504687024,0.0026276571338072563,1.0,0.21095794439315796,1.0,0.21392738819122314,1.0,0.021269546821713448,1.0,0.0004996343050152063,1.0,-0.00013612123439088464
1,Agalychnis medinae,1,1,1,Grisel Velasquez,2020,IUCN (International Union for Conservation of Nature).,0,Extant (resident),12.037777860003189,0.052402700644943116,1.0,0.374356210231781,1.0,0.2752857804298401,1.0,0.012315735220909119,1.0,0.0010800284799188375,1.0,0.0001308312639594078
2,Telmatobius mendelsoni,4,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Possibly Extinct,0.49778438615732135,0.01047791052017623,1.0,0.13877014815807343,1.0,0.4932710826396942,1.0,0.03933659940958023,1.0,-0.015622692182660103,1.0,-0.001949678873643279
3,Thorius omiltemi,1,1,1,Lauren Warr,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.8425792404085658,0.010135338094544921,1.0,0.5099076628684998,1.0,0.33935248851776123,1.0,0.4220096170902252,1.0,0.0022813216783106327,1.0,0.0002458281524013728
4,Ptychadena perplicata,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),35.86474781150094,55.70823737902021,0.9979433173153422,-0.11546701192855835,0.9949003287063958,-0.7443928122520447,0.9979433173153422,0.1510295420885086,0.9897420098095484,0.0024661733768880367,0.9567675210271713,0.00012624208466149867
5,Telmatobius hauthali,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.3923971564474438,0.009083071169183728,1.0,0.5887494087219238,1.0,0.7328948974609375,1.0,0.03497123718261719,1.0,-0.0007799714803695679,1.0,-9.846210014075041e-05
6,Plectrohyla pycnochila,4,1,1,IUCN & Paulina Arias Caballero-CONABIO,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe, CONABIO (Comisión Nacional para el Conocimiento y Uso de la Biodiversidad)",0,Possibly Extinct,0.1772934230838644,0.002501291813717827,1.0,0.20314979553222656,1.0,0.1284046173095703,1.0,0.040167808532714844,1.0,-0.0003933236002922058,1.0,4.144851118326187e-05
7,Cardioglossa nigromaculata,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),9.694854185174158,3.2299451992632986,1.0,0.13121990859508514,1.0,-0.06420452147722244,1.0,0.13992895185947418,0.9714759836214908,0.007208001799881458,1.0,0.0018739777151495218
8,Andinobates bombetes,1,1,1,IUCN,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),2.014825714972617,0.04302836060739629,1.0,0.7850821018218994,1.0,1.169776439666748,1.0,0.1957896202802658,1.0,0.0023106844164431095,1.0,-6.590447355847573e-06
9,Andinobates bombetes,1,1,1,Louise Hobin,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.4061669963173752,0.003404311642285243,1.0,0.7939950823783875,1.0,1.147843837738037,1.0,0.19880664348602295,1.0,0.001182421576231718,1.0,-0.0003968887613154948
10,Kassina cassinoides,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),66.30043032930561,131.89128981108897,0.9870442762181715,0.2966424822807312,0.98793099096895,-0.1611626148223877,0.9991147414879431,0.06009296327829361,0.9786163732464574,0.00055977440206334,0.9509437942243233,1.4201489193510497e-06
11,Oreophryne sibilans,1,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.05250669393835622,0.00021930400000035597,1.0,0.0877542570233345,1.0,-0.09427452087402344,1.0,0.09607411175966263,1.0,0.004621397703886032,1.0,0.0008053844794631004
12,Niceforonia fallaciosa,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.5305860451493744,0.012294343150221383,1.0,0.22853395342826843,1.0,0.5546045899391174,1.0,0.04756670072674751,1.0,-0.004044828005135059,1.0,3.1107232643989846e-05
13,Niceforonia fallaciosa,1,1,1,Steve Best,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.2646021037282616,0.005571417407592854,1.0,0.213409423828125,1.0,0.4804649353027344,1.0,0.006889343727380037,1.0,-0.0006856843829154968,1.0,6.274227052927017e-05
14,Craugastor xucanebi,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),7.145242874634042,0.8142920378816364,1.0,0.30191347002983093,1.0,0.3028791546821594,1.0,0.11355119943618774,1.0,0.0018199663609266281,1.0,0.0009710223530419171
15,Sclerophrys regularis,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),282.3394545423843,616.479039806591,0.9804459162296566,0.2869023382663727,0.9917047773802699,0.07537051290273666,0.988448398981965,0.13203662633895874,0.9795829990724503,0.0009137735469266772,0.9556562846879579,0.00019452301785349846
16,Sclerophrys regularis,1,3,1,IUCN,2014,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant & Introduced (resident),8.424014692032248,0.3380068095595775,0.967911198490768,-0.15983426570892334,1.0,-0.11183974891901016,1.0,-0.029953254386782646,1.0,-0.0010820323368534446,0.8717310172852504,2.5714085495565087e-05
17,Afrixalus weidholzi,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),117.45396478267742,177.49471070643324,0.9925156224006297,0.1377561092376709,0.9951757606969918,-0.18275542557239532,0.9906155003070571,-0.21321986615657806,0.9795192077767834,0.002256748266518116,0.9515425650785942,0.00016064764349721372
18,Hyperolius argus,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),108.53535496391588,60.53439237618536,0.983110154891867,-0.0677395835518837,1.0,-0.5992221832275391,0.99688508512462,0.04279085621237755,0.9964552165534144,9.652779408497736e-05,0.9434702083428546,0.00039971907972358167
19,Pristimantis culatensis,1,1,1,Kelsey Neam,2020,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.7450552087921767,0.026867065070527038,1.0,0.37530022859573364,1.0,0.4135250151157379,1.0,0.21228864789009094,1.0,0.002329461509361863,1.0,0.00037677164073102176
20,Scolecomorphus uluguruensis,1,1,1,Jennifer Luedtke,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),1.6040997171369826,0.020023045956461236,1.0,0.022810302674770355,1.0,-0.2684371769428253,1.0,0.057045917958021164,1.0,0.004907069727778435,0.7999774266559709,0.001268069725483656
21,Choerophryne proboscidea,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),21.055969510784312,2.715377219782719,0.9885369907403496,0.12459065020084381,0.9885369907403496,0.12265901267528534,0.9885369907403496,0.07839348912239075,0.9770690540800782,-0.0012019173009321094,1.0,-0.00020573729125317186
22,Odorrana lungshengensis,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),17.482128752795003,6.015340997790042,1.0,0.16113567352294922,0.9856465632217892,1.0253294706344604,1.0,-0.022389987483620644,0.9856163229077128,0.0024162305053323507,1.0,0.00041352343396283686
23,Nymphargus chami,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),7.566097769581071,0.45652242650168173,1.0,0.7469621300697327,1.0,1.0458823442459106,1.0,0.25959038734436035,0.9582466906260172,-0.0002882961416617036,1.0,-0.0007920495118014514
24,Oreophryne rookmaakeri,1,1,1,Louise Hobin,2017,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),2.082426381450287,0.1615839599610964,1.0,0.11189936846494675,1.0,0.09374033659696579,1.0,0.10324419289827347,1.0,0.003171512158587575,1.0,-0.0004458497860468924
25,Oreophryne rookmaakeri,6,1,1,Louise Hobin,2017,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Presence Uncertain,3.8816272605553204,0.30324050867343294,1.0,0.17727303504943848,1.0,0.08626753091812134,1.0,0.20464807748794556,1.0,0.0037129013799130917,1.0,-0.00011128162441309541
26,Arthroleptella bicolor,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),3.0768282781670666,0.19836007396293043,1.0,0.1604202389717102,1.0,-0.11055348068475723,1.0,-0.06646646559238434,1.0,0.0029763716738671064,1.0,0.0005320303607732058
27,Litoria vocivincens,1,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),18.806329857879675,2.376401744748632,0.9860721488474666,0.12467430531978607,0.9721619093559046,0.1167074665427208,1.0,0.02171001397073269,0.9860721488474666,-0.004330185707658529,0.9721529702215639,-0.0011298683239147067
28,Pristimantis pirrensis,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.560789217358129,0.010492688951190578,1.0,0.489290714263916,1.0,0.5258439183235168,1.0,0.14789694547653198,1.0,-0.002506859367713332,1.0,-0.0014611295191571116
