,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,generalisd,legend,Shape_Length,Shape_Area,urbanareas_2021,cropland_2021,rangeland_2021,managed_pasture_2021
0,Agalychnis medinae,4,1,1,Grisel Velasquez,2020,IUCN (International Union for Conservation of Nature).,0,Possibly Extinct,0.3705999504687024,0.0026276571338072563,0.10988564044237137,0.041485078632831573,0.0007839559693820775,0.15849396586418152
1,Agalychnis medinae,1,1,1,Grisel Velasquez,2020,IUCN (International Union for Conservation of Nature).,0,Extant (resident),12.037777860003189,0.052402700644943116,0.04817678468922774,0.0636257603764534,0.025304472539573904,0.15506960451602936
2,Telmatobius mendelsoni,4,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Possibly Extinct,0.49778438615732135,0.01047791052017623,0.002218434191553262,0.05780900819733258,0.010951698553441015,0.33860361877099604
3,Thorius omiltemi,1,1,1,Lauren Warr,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.8425792404085658,0.010135338094544921,0.01065785065293312,0.0813060849905014,0.015990450978279114,0.2484731376171112
4,Ptychadena perplicata,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),35.86474781150094,55.70823737902021,0.001120170090824795,0.0223202300139491,0.09188827380454216,0.11067777978201743
5,Telmatobius hauthali,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.3923971564474438,0.009083071169183728,1.4696604921482503e-05,6.346507871057838e-05,0.2462904304265976,0.0
6,Plectrohyla pycnochila,4,1,1,IUCN & Paulina Arias Caballero-CONABIO,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe, CONABIO (Comisión Nacional para el Conocimiento y Uso de la Biodiversidad)",0,Possibly Extinct,0.1772934230838644,0.002501291813717827,0.019027885583731922,0.20619548795981305,2.8066398238160925e-09,0.1079955295482108
7,Cardioglossa nigromaculata,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),9.694854185174158,3.2299451992632986,0.00446391355695122,0.12140865896073859,0.0027208680488135266,0.04173696064508147
8,Andinobates bombetes,1,1,1,IUCN,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),2.014825714972617,0.04302836060739629,0.009010461870925334,0.07855561659976738,0.02151739664953714,0.33153615491945565
9,Andinobates bombetes,1,1,1,Louise Hobin,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.4061669963173752,0.003404311642285243,0.004435537728839623,0.07212480429678735,0.017990204152896525,0.40622864890410604
10,Kassina cassinoides,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),66.30043032930561,131.89128981108897,0.0038454084569646703,0.291774635761554,0.13686447517370437,0.25225325265266463
11,Oreophryne sibilans,1,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),0.05250669393835622,0.00021930400000035597,0.0,2.6351211661940505e-21,0.0,0.0
12,Niceforonia fallaciosa,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.5305860451493744,0.012294343150221383,0.0,0.0021266997791826725,2.910648944087768e-10,0.014088483527302742
13,Niceforonia fallaciosa,1,1,1,Steve Best,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.2646021037282616,0.005571417407592854,0.0023130523040890694,0.08357453346252441,3.134236870039331e-09,0.08668974786996841
14,Craugastor xucanebi,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),7.145242874634042,0.8142920378816364,0.011790171932866798,0.11503515257821502,0.0003624167096021118,0.11651995783370267
15,Sclerophrys regularis,1,1,1,IUCN,2014,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),282.3394545423843,616.479039806591,0.004001362157822521,0.19879693911596072,0.15994265246783357,0.17422583890269516
16,Sclerophrys regularis,1,3,1,IUCN,2014,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant & Introduced (resident),8.424014692032248,0.3380068095595775,0.006846217679447948,0.010723880185812204,0.012372190311460654,0.0
17,Afrixalus weidholzi,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),117.45396478267742,177.49471070643324,0.003830528474764305,0.19136727249918786,0.019701402812727448,0.25999660783292877
18,Hyperolius argus,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),108.53535496391588,60.53439237618536,0.0029888420868915983,0.10079617446976423,0.10621050794668283,0.3281440012173255
19,Pristimantis culatensis,1,1,1,Kelsey Neam,2020,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.7450552087921767,0.026867065070527038,0.023750396445393562,0.053842104971408844,0.022816063836216927,0.12609408795833588
20,Scolecomorphus uluguruensis,1,1,1,Jennifer Luedtke,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),1.6040997171369826,0.020023045956461236,0.0006793229982474401,0.2588446917856807,0.26857095785275437,0.17890912484094412
21,Choerophryne proboscidea,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),21.055969510784312,2.715377219782719,0.000577195051471969,0.02599913651419635,0.0006518728806977806,0.003794570813070615
22,Odorrana lungshengensis,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),17.482128752795003,6.015340997790042,0.005535904797075943,0.16508438836451128,0.0003832725030898955,0.14420073599897643
23,Nymphargus chami,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),7.566097769581071,0.45652242650168173,0.0019623826695344977,0.05253684555860371,0.028494589131102276,0.3307708271930571
24,Oreophryne rookmaakeri,1,1,1,Louise Hobin,2017,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),2.082426381450287,0.1615839599610964,0.00730842794291675,0.238411583006382,0.001189033706187309,0.08290184661746025
25,Oreophryne rookmaakeri,6,1,1,Louise Hobin,2017,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Presence Uncertain,3.8816272605553204,0.30324050867343294,0.0016750973025911105,0.324230291088824,0.008844399157045966,0.19614314649862719
26,Arthroleptella bicolor,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),3.0768282781670666,0.19836007396293043,0.002008452825026206,0.20221794168716511,0.34057085833560957,0.2338282730897122
27,Litoria vocivincens,1,1,1,IUCN,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),18.806329857879675,2.376401744748632,0.00016343489186822758,0.019734029385051977,0.0004285021437144372,0.002597581884626082
28,Pristimantis pirrensis,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.560789217358129,0.010492688951190578,0.0002353823510929942,9.829812188399956e-05,0.0013772755628451705,0.0002999002463184297
29,Epipedobates machalilla,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),14.347020775840361,3.0111311762380883,0.01487264303179671,0.1817256986545157,0.012595963293252832,0.05882719101433417
30,Caecilia occidentalis,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),2.9795005751288874,0.1648076130602132,0.009404729950072044,0.04762074800178909,0.010252233455126233,0.4862050040930919
31,Pristimantis celator,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),5.567209528369871,0.32203359047231267,0.01434242953402015,0.14663389529050877,0.0043852713184514,0.11498917742369444
32,Gephyromantis malagasius,1,1,1,IUCN,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),17.42553552379536,5.3148318867019855,0.0008428752548882739,0.14580109488634632,0.005940039471809889,0.3128080114419664
33,Anodonthyla vallani,1,1,1,Louise Hobin,2016,International Union for Conservation of Nature (IUCN),0,Extant (resident),0.28183318183324246,0.0017353238949725936,0.0,0.00287838326767087,7.067384899528406e-09,0.792422890663147
34,Scaphiophryne boribory,1,1,1,Louise Hobin,2016,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),1.1819882290096464,0.061266700807409535,0.00021818496910783886,0.04787013476156296,0.04361777467660036,0.31298082327922927
35,Scaphiophryne boribory,1,1,1,IUCN,2016,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),0.8201340109415858,0.03181065883409664,0.0003861949807742298,0.05663936028667342,0.00911439313753511,0.3484802904077684
36,Leptodactylodon axillaris,1,1,1,IUCN,2012,IUCN (International Union for Conservation of Nature) and Conservation International.,0,Extant (resident),0.2844497453339391,0.0060367486025484215,0.030211834236979485,0.21383342146873474,0.0009785313159227371,0.05819264054298401
37,Oreophryne crucifer,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),7.26175598706408,0.1333927094066884,0.0007759179803954954,0.009681332758787494,1.925922811138242e-05,0.0013679556689081384
38,Pristimantis maculosus,1,1,1,Louise Hobin,2016,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.48112901079153747,0.008283723391169178,0.005592217668890953,0.03757944330573082,0.01660383865237236,0.36424490809440613
39,Pristimantis maculosus,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.6085806115414055,0.008733758302066727,0.012777259330038438,0.06696138834792198,0.03127229972612842,0.3931514546925167
40,Pristimantis maculosus,1,1,1,IUCN,2016,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),0.6776727763460485,0.014728719640987853,0.02089906535271311,0.047649691818144185,0.007339640499565261,0.5077194167731074
41,Glandirana susurra,1,1,1,Janice Chanson,2020,IUCN (International Union for Conservation of Nature),0,Extant (resident),0.8108911067095012,0.014670902144710556,0.0,0.012231402972247452,0.0,0.0
42,Leptobrachella dringi,1,1,1,Louise Hobin,2018,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),30.234534295866784,13.51044129827638,0.0003670513607476215,0.19956263945302544,0.015158820643464433,0.026126008363741474
43,Pristimantis atrabracus,1,1,1,Steve Best,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe",0,Extant (resident),0.10021960683962604,0.0007992438944963422,0.003017615294083953,0.14000040292739868,6.410896457964554e-05,0.011610202491283417
44,Pristimantis hoogmoedi,1,1,1,Grisel Velasquez and Margarita Lampo,2020,IUCN (International Union for Conservation of Nature).,0,Extant (resident),1.4193560703943118,0.004400965078830277,0.003526128828525543,0.013241943903267384,0.005986215081065893,0.04936227202415466
45,Telmatobius atahualpai,1,1,1,Kelsey Neam,2017,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.",0,Extant (resident),4.000716211727652,0.48249188457372216,0.0008687485230293838,0.08396164891011904,0.010811702530564796,0.09584116136337079
46,Mantophryne insignis,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International,0,Extant (resident),2.3106701775065908,0.07126770309094667,0.0006101400629329965,0.00012692605861460942,3.447356377800315e-13,2.775778986380542e-05
47,Ptychadena filwoha,1,1,1,Aina Pascual Cuadras,2012,IUCN (International Union for Conservation of Nature) and Conservation International.,0,Extant (resident),0.6279229692198398,0.010969720695786257,7.440826616551933e-21,0.14709852296494957,0.19879629266364862,0.12329456094460131
48,Tachycnemis seychellensis,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.",0,Extant (resident),1.1326578507783902,0.01469925419084723,0.0,0.0,0.0,0.0
49,Rhombophryne longicrus,1,1,1,Mark D. Scherz,2015,International Union for Conservation of Nature (IUCN),0,Extant (resident),1.3223427995770947,0.03198589503545925,0.0,0.18458538502454758,0.08003071649000049,0.366162970662117
50,Leptodactylus colombiensis,1,1,1,Nieves Garcia,2020,IUCN (International Union for Conservation of Nature) and Conservation International,0,Extant (resident),49.36530449972994,11.307132721997528,0.005438444351117472,0.05644843638257257,0.07473433288315934,0.35870504293744215
51,Leptodactylus colombiensis,6,1,1,Nieves Garcia,2020,IUCN (International Union for Conservation of Nature) and Conservation International,0,Presence Uncertain,0.10190428114175118,0.000819485888527646,0.050372492522001266,0.06112261861562729,0.005862809251993895,0.11899011582136154
52,Mantella manery,1,1,1,Louise Hobin,2015,IUCN (International Union for Conservation of Nature) & Conservation International.,0,Extant (resident),0.4911640840400994,0.004647700761370125,0.000264039660600376,0.22037631541844419,0.03355692082658347,0.32116660157174626
